City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Sorland,NO,0,1563543719,77,67.67,12.69,295.15,5.1
Ternuvate,UA,0,1563543720,36,47.83,36.13,299.15,5.0
Tasiilaq,GL,40,1563543720,87,65.61,-37.64,279.15,1.0
Dunedin,NZ,100,1563543460,87,-45.87,170.5,282.59,5.81
Rikitea,PF,92,1563543721,63,-23.12,-134.97,292.148,6.96
Punta Arenas,CL,40,1563543721,74,-53.16,-70.91,276.15,9.3
Tuatapere,NZ,13,1563543721,97,-46.13,167.69,279.82,3.74
Saint-Philippe,CA,40,1563543441,83,45.36,-73.48,299.26,4.6
Pangnirtung,CA,90,1563543722,93,66.15,-65.72,285.15,1.5
Dikson,RU,24,1563543722,74,73.51,80.55,279.648,8.41
Carnarvon,ZA,19,1563543723,55,-30.97,22.13,284.248,9.97
Khani,GE,90,1563543723,83,41.96,42.96,297.15,4.6
